Time,TPS,StockLevel,StockLevelLatency,TPMC,Delivery,DeliveryLatency,OrderStatus,OrderStatusLatency,Payment,PaymentLatency,NewOrder,NewOrderLatency,Failed
1,22.00,0,0.00,720.00,10,532.89,0,0.00,0,0.00,12,452.63,0
2,28.00,0,0.00,390.00,15,506.74,0,0.00,0,0.00,13,312.65,0
3,17.00,0,0.00,120.00,11,518.93,0,0.00,0,0.00,6,314.84,0
4,15.00,0,0.00,135.00,6,512.65,0,0.00,0,0.00,9,401.00,0
5,19.00,0,0.00,144.00,7,459.80,0,0.00,0,0.00,12,325.89,0
6,17.00,0,0.00,110.00,6,421.28,0,0.00,0,0.00,11,323.45,0
7,16.00,0,0.00,94.29,5,473.97,0,0.00,0,0.00,11,429.47,0
8,15.00,0,0.00,60.00,7,465.11,0,0.00,0,0.00,8,426.49,0
9,17.00,0,0.00,66.67,7,450.40,0,0.00,0,0.00,10,451.07,0
10,15.00,0,0.00,24.00,11,452.66,0,0.00,0,0.00,4,329.48,0
11,10.00,0,0.00,16.36,7,416.31,0,0.00,0,0.00,3,324.47,0
12,10.00,0,0.00,30.00,4,439.67,0,0.00,0,0.00,6,329.64,0
13,7.00,0,0.00,9.23,5,467.37,0,0.00,0,0.00,2,395.32,0
14,5.00,0,0.00,21.43,0,0.00,0,0.00,0,0.00,5,342.64,0
15,3.00,0,0.00,4.00,2,331.68,0,0.00,0,0.00,1,323.05,0
16,3.00,0,0.00,3.75,2,330.55,0,0.00,0,0.00,1,189.92,0
17,4.00,0,0.00,7.06,2,504.24,0,0.00,0,0.00,2,178.31,0
18,3.00,0,0.00,10.00,0,0.00,0,0.00,0,0.00,3,409.70,0
19,3.00,0,0.00,3.16,2,351.31,0,0.00,0,0.00,1,267.22,0
20,4.00,0,0.00,6.00,2,476.91,0,0.00,0,0.00,2,320.89,0
21,3.00,0,0.00,0.00,3,365.59,0,0.00,0,0.00,0,0.00,0
22,2.00,0,0.00,2.73,1,373.27,0,0.00,0,0.00,1,307.49,0
23,3.00,0,0.00,0.00,3,391.81,0,0.00,0,0.00,0,0.00,0
24,3.00,0,0.00,2.50,2,402.10,0,0.00,0,0.00,1,340.04,0
25,3.00,0,0.00,2.40,2,375.77,0,0.00,0,0.00,1,374.21,0
26,3.00,0,0.00,4.62,1,432.90,0,0.00,0,0.00,2,353.03,0
27,3.00,0,0.00,0.00,3,350.75,0,0.00,0,0.00,0,0.00,0
28,2.00,0,0.00,0.00,2,334.67,0,0.00,0,0.00,0,0.00,0
